0xbab23 | adc al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 0x15], ch ; ret ; 
0x1234ba | adc al, 0x48 ; add esp, 0xa0 ; pop rbx ; ret ; 
0x1415c1 | adc al, 0x48 ; mov eax, edx ; movsxd rdx, esi ; ret ; 
0xb8a69 | adc al, 0xf ; test dword ptr [rax + 7], edx ; add byte ptr [rax], al ; ret ; 
0xefc75 | adc al, 0xf3 ; lcall [rbx + 0x31] ; rcr byte ptr [rbp + 0x41], 0x5c ; ret ; 
0x3dbb8 | adc bl, bl ; insb byte ptr [rdi], dx ; and al, 8 ; ret ; 
0xb7676 | adc bl, dh ; movq qword ptr [rdi], mm0 ; mov byte ptr [rdi + 0x10], cl ; ret ; 
0xb7675 | adc bl, r14b ; movq qword ptr [rdi], mm0 ; mov byte ptr [rdi + 0x10], cl ; ret ; 
0xbaa9c | adc byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x11], ch ; ret ; 
0xbaabe | adc byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x12], ch ; ret ; 
0xbaafc | adc byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x14], ch ; ret ; 
0xbab7e | adc byte ptr [r8], r14b ; in eax, dx ; mov byte ptr [rdi + 0x18], ch ; ret ; 
0x7b244 | adc byte ptr [rax + rax], al ; add byte ptr [rbx + 0x5d], bl ; pop r12 ; ret ; 
0x83357 | adc byte ptr [rax - 0x77], cl ; push rax ; adc byte ptr [rax - 0x77], cl ; ret ; 
0x123f5f | adc byte ptr [rax], al ; add byte ptr [rax], al ; add byte ptr [rax + 0x63], cl ; ret ; 
0x14dbca | adc byte ptr [rax], al ; add byte ptr [rax], al ; mov qword ptr [rsi + 8], rax ; ret ; 
0xbaa9d | adc byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x11], ch ; ret ; 
0xbaabf | adc byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x12], ch ; ret ; 
0xbaafd | adc byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x14], ch ; ret ; 
0xbab7f | adc byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x18], ch ; ret ; 
0xbac81 | adc byte ptr [rax], dh ; in eax, dx ; mov byte ptr [rdi + 0x20], ch ; ret ; 
0x7b66e | adc byte ptr [rax], dl ; add byte ptr [rax], al ; pop rbx ; ret ; 
0x16731a | adc byte ptr [rcx], al ; add byte ptr [rax], al ; pop rbx ; ret ; 
0x8fb55 | adc byte ptr [rcx], ch ; rol bl, 1 ; mov eax, 0xffffffff ; ret ; 
0x150e5f | adc byte ptr [rcx], dh ; ror byte ptr [rax - 0x7d], 0xc4 ; or byte ptr [rbx + 0x5d], bl ; ret ; 
0x17ec08 | adc byte ptr [rdi], cl ; test dword ptr [rcx + 5], eax ; add byte ptr [rax], al ; ret ; 
0x190bbb | adc byte ptr [rdx], cl ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x6b20f | adc eax, dword ptr [rax - 0x78] ; sub byte ptr [rbx + 0x5d], bl ; pop r12 ; ret ; 
0x8098c | adc ecx, dword ptr [rax - 0x77] ; fcomp dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0x8de23 | adc esi, dword ptr [rcx] ; ror byte ptr [rax - 0x7d], 0xc4 ; or byte ptr [rbx + 0x5d], bl ; ret ; 
0xbba5e | add ah, bh ; add eax, dword ptr [rax] ; pop rbx ; ret ; 
0xbbaa9 | add ah, bh ; inc dword ptr [rbx] ; pop rbx ; ret ; 
0xbcf4a | add al, 0 ; add byte ptr [rax], al ; add bl, dh ; ret ; 
0xbbaf4 | add al, 0x12 ; pop rbx ; and eax, 0x7ff80000 ; ret ; 
0xa9eb1 | add al, 0x17 ; movzx edx, byte ptr [rsi + rdx] ; sub eax, edx ; ret ; 
0x3e9d5 | add al, 0x24 ; add rsp, 0x20 ; pop rbx ; ret ; 
0x199abe | add al, 0x24 ; add rsp, 0x30 ; pop rbx ; ret ; 
0x130bd3 | add al, 0x25 ; adc byte ptr [rax], al ; add byte ptr [rax], al ; ret ; 
0xba959 | add al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 5], ch ; ret ; 
0xba96b | add al, 0x30 ; in eax, dx ; mov byte ptr [rdi + 6], ch ; ret ; 
0x827f2 | add al, 0x48 ; mov dword ptr [rdx + 0x20], esi ; mov dword ptr [rcx], eax ; ret ; 
0x130064 | add al, 0x50 ; shr ax, 0xe ; and eax, 1 ; ret ; 
0x181387 | add al, 0x66 ; mov dword ptr [rdx + 4], eax ; lea rax, [rdx + 5] ; ret ; 
0x181376 | add al, 0x88 ; add al, 0x48 ; lea eax, [rdx + 4] ; ret ; 
0xdf183 | add al, 0xd0 ; add rsp, 0x10 ; pop rbx ; ret ; 
0xbcc95 | add al, 0xf ; test dword ptr [rcx + rax], esi ; add byte ptr [rax], al ; ret ; 
0xb714b | add al, 0xf ; test dword ptr [rsi + 8], ecx ; add byte ptr [rax], al ; ret ; 
0x140a5e | add al, 1 ; add byte ptr [rax], al ; cmove eax, edx ; ret ; 
0x1912c7 | add al, 3 ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x11fab2 | add al, byte ptr [rax] ; add byte ptr [rax], al ; xor eax, eax ; ret ; 
0x12ca43 | add al, byte ptr [rcx - 1] ; push rbp ; sub byte ptr [rax - 0x77], cl ; ret ; 
0x113b77 | add al, ch ; adc ebp, -0x10 ; dec dword ptr [rax + 0x39] ; ret ; 
0x21372 | add al, ch ; pop rax ; lock add byte ptr [rax], al ; ret ; 
0x1160f4 | add al, ch ; test byte ptr [rax], 0xfd ; dec dword ptr [rax - 0x77] ; ret ; 
0x9fdd4 | add al, ch ; xchg byte ptr [rax + rdi*8], dl ; dec dword ptr [rax - 0x77] ; ret ; 
0xf5749 | add al, ch ; xchg eax, ecx ; mov edx, 0x8948fff2 ; ret ; 
0x1530b1 | add bl, al ; nop dword ptr [rax + rax] ; xor eax, eax ; ret ; 
0x9eba6 | add byte ptr [r8 - 0x77], r9b ; fcomp dword ptr [rbx + 0x5d] ; pop r12 ; ret ; 
0x109be0 | add byte ptr [r8], r8b ; add byte ptr [rax], al ; add byte ptr [rax - 0x7d], cl ; ret ; 
0x198316 | add byte ptr [rax + 9], cl ; fmul dword ptr [rdi] ; xchg eax, ebp ; ret ; 
0x9d29f | add byte ptr [rax + rax], al ; add byte ptr [rbx + 0x5d], bl ; pop r12 ; ret ; 
0x9547b | add byte ptr [rax + rax], cl ; add byte ptr [rax], al ; mov rax, rsi ; ret ; 
