0x1799f | les ebx, ptr [eax + 0x5e5b0000] ; pop edi ; pop ebp ; ret ; 
0x18377 | xchg eax, ecx ; add al, 5 ; add byte ptr [eax], al ; ret ; 
0x1839b | daa ; add byte ptr [eax], al ; add byte ptr [eax], al ; ret ; 
0x18815 | or byte ptr [ebx + 0x5e5b6cc4], al ; pop edi ; pop ebp ; ret ; 
0x18dd3 | ficomp dword ptr [ebx + 0x5e] ; pop edi ; pop ebp ; ret ; 
0x18e32 | push esp ; and al, 0x1c ; add esp, 0x24 ; ret ; 
0x19ba4 | mov bl, 5 ; add byte ptr [ebx + 0x5e5b10c4], al ; pop edi ; ret ; 
0x1b6fd | xor byte ptr [ebp + 0x5e5bf465], cl ; pop edi ; pop ebp ; ret ; 
0x1cda4 | or eax, dword ptr [ebx + 0x5e5b5cc4] ; pop edi ; pop ebp ; ret ; 
0x20e15 | adc dword ptr [ebx + 0x5e5b5cc4], eax ; pop edi ; pop ebp ; ret ; 
0x20f79 | adc eax, dword ptr [ebx + 0x5e5b2cc4] ; pop edi ; pop ebp ; ret ; 
0x2105f | sbb byte ptr [ebp + 0x5e5bf465], cl ; pop edi ; pop ebp ; ret ; 
0x2119d | adc al, byte ptr [ebx + 0x5e5b6cc4] ; pop edi ; pop ebp ; ret ; 
0x217cd | aaa ; add eax, 0x18c48300 ; pop ebx ; ret ; 
0x217f9 | add esi, dword ptr [esp + ecx - 0x7d] ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x217fb | or al, 0x83 ; les ecx, ptr [eax] ; pop ebx ; ret ; 
0x218a2 | mov ch, byte ptr [esi] ; or al, 0 ; add esp, 0x1c ; ret ; 
0x21c6c | mov eax, edi ; pop edi ; pop ebp ; ret ; 
0x21f2c | mov eax, ebp ; pop edi ; pop ebp ; ret ; 
0x23204 | mov edx, dword ptr [esp + 8] ; mov eax, dword ptr [eax] ; sub eax, dword ptr [edx] ; ret ; 
0x23206 | and al, 8 ; mov eax, dword ptr [eax] ; sub eax, dword ptr [edx] ; ret ; 
0x24067 | mov eax, dword ptr [edx + eax] ; mov eax, dword ptr [eax] ; mov eax, dword ptr [eax + 0x58] ; ret ; 
0x24068 | add al, 2 ; mov eax, dword ptr [eax] ; mov eax, dword ptr [eax + 0x58] ; ret ; 
0x24b3f | inc esp ; nop ; inc eax ; ret ; 
0x25131 | inc esp ; and al, 4 ; and eax, 0x7f ; ret ; 
0x2531a | add byte ptr [ebx], ah ; inc esp ; and al, 8 ; ret ; 
0x253a1 | or byte ptr [ecx - 0x74f67422], cl ; pop ecx ; and al, 0x81 ; ret ; 
0x253d3 | mov dword ptr [eax + ebx], edx ; pop ebx ; pop esi ; ret ; 
0x253d4 | adc al, 0x18 ; pop ebx ; pop esi ; ret ; 
0x2a6c6 | add al, 0x31 ; ror byte ptr [edi], cl ; scasd eax, dword ptr es:[edi] ; ret ; 
0x2b264 | ror byte ptr [ecx - 0x22f7dbbc], 1 ; inc esp ; and al, 4 ; ret ; 
0x2b266 | inc esp ; and al, 8 ; fld qword ptr [esp + 4] ; ret ; 
0x2b268 | or ch, bl ; inc esp ; and al, 4 ; ret ; 
0x2b5a4 | ror byte ptr [ecx - 0x26fbdbbc], 1 ; inc esp ; and al, 4 ; ret ; 
0x2b5a6 | inc esp ; and al, 4 ; fld dword ptr [esp + 4] ; ret ; 
0x2b5a8 | add al, 0xd9 ; inc esp ; and al, 4 ; ret ; 
0x2b5e4 | fst dword ptr [eax] ; fsubr dword ptr [esp + 8] ; add esp, 4 ; ret ; 
0x2b5e7 | insb byte ptr es:[edi], dx ; and al, 8 ; add esp, 4 ; ret ; 
0x2b601 | fstp dword ptr [eax] ; fld dword ptr [esp] ; add esp, 4 ; ret ; 
0x2b602 | sbb cl, bl ; add al, 0x24 ; add esp, 4 ; ret ; 
0x2b61a | fld dword ptr [esp + 8] ; mov dword ptr [eax], edx ; add esp, 4 ; ret ; 
0x2b61c | and al, 8 ; mov dword ptr [eax], edx ; add esp, 4 ; ret ; 
0x2b67f | fstp dword ptr [esp] ; fld dword ptr [esp] ; add esp, 4 ; ret ; 
0x2b680 | sbb al, 0x24 ; fld dword ptr [esp] ; add esp, 4 ; ret ; 
0x2b6f1 | and al, 8 ; fld dword ptr [esp + 4] ; mov dword ptr [eax], ecx ; ret ; 
0x2b7f2 | sub ecx, edx ; not eax ; and eax, ecx ; ret ; 
0x2b833 | sub edx, eax ; mov eax, edx ; sar eax, 0x10 ; ret ; 
0x2b864 | ror byte ptr [ecx - 0x24f3dbbc], 1 ; insb byte ptr es:[edi], dx ; and al, 4 ; ret ; 
0x2b866 | inc esp ; and al, 0xc ; fld xword ptr [esp + 4] ; ret ; 
0x2b868 | or al, 0xdb ; insb byte ptr es:[edi], dx ; and al, 4 ; ret ; 
0x2b8dc | and al, 0x83 ; les edx, ptr [ebx + ebx*2] ; pop esi ; ret ; 
0x2b950 | les edx, ptr [ebx + ebx*2] ; pop esi ; fsubp st(1) ; ret ; 
0x2b951 | adc al, 0x5b ; pop esi ; fsubp st(1) ; ret ; 
0x2b952 | pop ebx ; pop esi ; fsubp st(1) ; ret ; 
0x2b9d4 | fld xword ptr [esp + 4] ; fscale ; fstp st(1) ; ret ; 
0x2b9d6 | and al, 4 ; fscale ; fstp st(1) ; ret ; 
0x2b9d7 | add al, 0xd9 ; std ; fstp st(1) ; ret ; 
0x2ba48 | and al, 0x10 ; fld xword ptr [esp + 4] ; mov dword ptr [eax], ecx ; ret ; 
0x2ba4b | insb byte ptr es:[edi], dx ; and al, 4 ; mov dword ptr [eax], ecx ; ret ; 
0x2bb77 | ldmxcsr dword ptr [esp + 0xc] ; add esp, 0x10 ; pop ebx ; ret ; 
0x2bb7a | and al, 0xc ; add esp, 0x10 ; pop ebx ; ret ; 
0x2bb7b | or al, 0x83 ; les edx, ptr [eax] ; pop ebx ; ret ; 
0x2bc9d | mov dword ptr [edx + 0x14], ecx ; mov dword ptr [edx + 0xc], ebp ; mov dword ptr [edx + 0x18], eax ; ret ; 
0x2bc9f | adc al, 0x89 ; push 0xc ; mov dword ptr [edx + 0x18], eax ; ret ; 
0x2c5f8 | rol byte ptr [ecx + 0x124c4], 0 ; pop ebx ; pop esi ; ret ; 
0x2c5f9 | add esp, 0x124 ; pop ebx ; pop esi ; ret ; 
0x2c678 | add dword ptr [ecx - 0x3b7cfbaa], ecx ; and al, 0x5b ; pop esi ; ret ; 
0x2c798 | shl edx, cl ; or dword ptr [eax], edx ; xor eax, eax ; ret ; 
0x2c7ba | not edx ; and dword ptr [eax], edx ; xor eax, eax ; ret ; 
0x2c8cc | or dword ptr [eax + ebx*4], edx ; xor eax, eax ; pop ebx ; ret ; 
0x2c8cd | adc al, 0x98 ; xor eax, eax ; pop ebx ; ret ; 
0x2c8ce | cwde ; xor eax, eax ; pop ebx ; ret ; 
0x2c92d | and dword ptr [edx + ebx*4], eax ; xor eax, eax ; pop ebx ; ret ; 
0x2c92e | add al, 0x9a ; xor eax, eax ; pop ebx ; ret ; 
0x2d090 | add esp, 0xa4 ; pop ebx ; pop edi ; ret ; 
0x2d094 | add byte ptr [eax], al ; pop ebx ; pop edi ; ret ; 
0x2d23b | inc esi ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x2ea48 | add byte ptr [eax], al ; add al, ch ; add eax, 0x81000f11 ; ret ; 
0x2ef7d | sbb edx, ecx ; pop esi ; pop edi ; ret ; 
0x2f974 | xor eax, ebx ; pop ebx ; pop esi ; ret ; 
0x2faf3 | lea eax, [esi + 6] ; pop ebx ; pop esi ; ret ; 
0x2faf5 | push es ; pop ebx ; pop esi ; ret ; 
0x2fd5b | push eax ; push cs ; xor eax, eax ; ret ; 
0x2ffde | dec byte ptr [edx] ; add byte ptr [eax], al ; add esp, 0x2c ; ret ; 
0x3132b | rol byte ptr [ebx + 0x5e5b5cc4], cl ; pop edi ; pop ebp ; ret ; 
0x3189a | adc cl, byte ptr [ecx] ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x318d8 | aam 8 ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x3190a | push edx ; add byte ptr ss:[eax], al ; add esp, 0x1c ; ret ; 
0x31948 | adc al, 0x36 ; add byte ptr [eax], al ; add esp, 0x1c ; ret ; 
0x33fb6 | and al, 0x80 ; add byte ptr [eax], al ; add byte ptr [ecx], bh ; ret ; 
0x36793 | inc dword ptr [ebp + 0x24448bc0] ; or byte ptr [edi], cl ; xchg eax, ebp ; ret ; 
0x36fec | test dword ptr [ebx], eax ; add dword ptr [eax], eax ; add byte ptr [ecx], bh ; ret ; 
0x3980b | inc dword ptr [ebp + 0x24448bc0] ; adc byte ptr [edi], cl ; xchg eax, ebp ; ret ; 
0x39df6 | and al, 0x90 ; add byte ptr [eax], al ; add byte ptr [ecx], bh ; ret ; 
0x39df7 | nop ; add byte ptr [eax], al ; add byte ptr [ecx], bh ; ret ; 
0x3a4d8 | adc byte ptr [eax], dl ; add byte ptr [eax], al ; add cl, ch ; ret ; 
0x3a6fe | mov dword ptr [ebx], 0x83001779 ; in al, dx ; sub al, 0x89 ; ret ; 
0x3b006 | test byte ptr [ebp + 0x5e5bf465], cl ; pop edi ; pop ebp ; ret ; 
0x3b48a | sbb dword ptr [eax + 0x17], esi ; add byte ptr [eax], al ; add byte ptr [ebx + 0x5e], bl ; ret ; 
0x3b48c | pop ss ; add byte ptr [eax], al ; add byte ptr [ebx + 0x5e], bl ; ret ; 
0x3bb85 | test byte ptr [esp + ebx*4], ah ; add byte ptr [eax], al ; add byte ptr [eax - 0x77], dl ; ret ; 
0x3bb86 | and al, 0x9c ; add byte ptr [eax], al ; add byte ptr [eax - 0x77], dl ; ret ; 
0x3bb87 | pushfd ; add byte ptr [eax], al ; add byte ptr [eax - 0x77], dl ; ret ; 
0x3bd82 | add byte ptr [eax], al ; add byte ptr [edi], cl ; inc ebp ; ret ; 
0x3bef3 | and al, 0x54 ; add dword ptr [eax], eax ; add byte ptr [ecx], ch ; ret ; 
0x3bef4 | push esp ; add dword ptr [eax], eax ; add byte ptr [ecx], ch ; ret ; 
