         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1549173   20.453    0.000   27.148    0.000 __init__.py:1071(disasm_lite)
        3    9.229    3.076   63.616   21.205 gadgets.py:44(__gadgetsFinding)
  2190944    4.484    0.000    4.484    0.000 {method 'decode' of 'bytes' objects}
   633286    4.312    0.000   10.323    0.000 {built-in method builtins.any}
   453760    3.541    0.000    5.981    0.000 {built-in method builtins.sum}
   784211    2.478    0.000    3.764    0.000 gadgets.py:354(<genexpr>)
   783464    2.451    0.000    3.743    0.000 gadgets.py:72(<genexpr>)
  1549173    2.440    0.000    2.440    0.000 gadgets.py:63(<genexpr>)
   289688    2.343    0.000    7.306    0.000 gadgets.py:32(__passCleanX86)
   289688    1.943    0.000   14.633    0.000 gadgets.py:346(passClean)
208657/208648    1.916    0.000    5.663    0.000 {method 'join' of 'str' objects}
   579006    1.295    0.000    1.295    0.000 {method 'format' of 'str' objects}
   578139    1.286    0.000    1.286    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
   617891    1.258    0.000    1.258    0.000 gadgets.py:37(<genexpr>)
   579178    1.015    0.000    1.015    0.000 gadgets.py:39(<genexpr>)
        1    0.802    0.802    1.463    1.463 core.py:99(__lookingForGadgets)
   453772    0.792    0.000    0.792    0.000 {built-in method _ctypes.byref}
   453778    0.741    0.000    0.741    0.000 {built-in method _ctypes.POINTER}
463512/463048    0.691    0.000    0.692    0.000 {built-in method builtins.len}
        1    0.479    0.479    0.658    0.658 rgutils.py:9(deleteDuplicateGadgets)
   111102    0.472    0.000    0.472    0.000 {built-in method builtins.print}
   206222    0.388    0.000    0.388    0.000 {method 'replace' of 'str' objects}
        1    0.385    0.385    0.558    0.558 {built-in method builtins.sorted}
   218945    0.314    0.000    0.314    0.000 {method 'append' of 'list' objects}
       27    0.194    0.007    0.261    0.010 gadgets.py:54(<listcomp>)
   112213    0.191    0.000    0.191    0.000 {method 'get' of 'dict' objects}
   111238    0.179    0.000    0.179    0.000 {method 'add' of 'set' objects}
   111100    0.173    0.000    0.173    0.000 rgutils.py:21(<lambda>)
    45376    0.067    0.000    0.067    0.000 {method 'start' of '_sre.SRE_Match' objects}
        1    0.065    0.065   66.410   66.410 __init__.py:20(main)
  516/122    0.048    0.000    0.169    0.001 sre_parse.py:491(_parse)
    11929    0.035    0.000    0.061    0.000 sre_parse.py:247(get)
        1    0.034    0.034   64.869   64.869 core.py:69(__getGadgets)
      127    0.030    0.000    0.030    0.000 {built-in method marshal.loads}
    13254    0.029    0.000    0.029    0.000 sre_parse.py:226(__next)
  933/110    0.024    0.000    0.075    0.001 sre_compile.py:64(_compile)
  565/561    0.021    0.000    0.141    0.000 {built-in method builtins.__build_class__}
      309    0.014    0.000    0.024    0.000 sre_compile.py:248(_optimize_charset)
      310    0.013    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     3808    0.013    0.000    0.019    0.000 sre_parse.py:157(__getitem__)
    151/1    0.013    0.000   67.106   67.106 {built-in method builtins.exec}
      285    0.012    0.000    0.029    0.000 version.py:198(__init__)
     8030    0.012    0.000    0.013    0.000 {built-in method builtins.isinstance}
 1424/612    0.011    0.000    0.016    0.000 sre_parse.py:167(getwidth)
     1666    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1023    0.009    0.000    0.009    0.000 {built-in method posix.stat}
     1666    0.008    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      166    0.007    0.000    0.103    0.001 __init__.py:1959(find_on_path)
       72    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
3115/3106    0.006    0.000    0.007    0.000 {built-in method builtins.hasattr}
  362/110    0.006    0.000    0.172    0.002 sre_parse.py:429(_parse_sub)
     4141    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
        7    0.005    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
     2689    0.005    0.000    0.007    0.000 sre_parse.py:242(match)
     3666    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     2346    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
      159    0.005    0.000    0.069    0.000 <frozen importlib._bootstrap>:879(_find_spec)
     2996    0.004    0.000    0.004    0.000 {method 'group' of '_sre.SRE_Match' objects}
     2223    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     1453    0.004    0.000    0.006    0.000 sre_parse.py:165(append)
      418    0.004    0.000    0.008    0.000 posixpath.py:71(join)
       12    0.004    0.000    0.010    0.001 enum.py:88(__new__)
      630    0.004    0.000    0.038    0.000 __init__.py:2501(_get_metadata)
      283    0.004    0.000    0.005    0.000 version.py:343(_cmpkey)
      309    0.004    0.000    0.029    0.000 sre_compile.py:221(_compile_charset)
