
         15500315 function calls (15378581 primitive calls) in 64.717 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  1711112   20.097    0.000   26.053    0.000 __init__.py:1071(disasm_lite)
126512/8907    8.450    0.000   63.433    0.007 rop.py:120(build_from)
   659602    4.072    0.000    7.134    0.000 pygtrie.py:1143(walk_towards)
  1865322    3.012    0.000    3.013    0.000 {method 'decode' of 'bytes' objects}
   117605    2.937    0.000   15.045    0.000 rop.py:54(print_gadget)
   541997    2.556    0.000   10.489    0.000 pygtrie.py:1179(prefixes)
   141816    2.137    0.000    4.412    0.000 pygtrie.py:529(_get_node)
1330262/1329810    1.526    0.000    1.528    0.000 {built-in method builtins.len}
   117606    1.278    0.000    4.966    0.000 pygtrie.py:557(_set_node)
   377027    1.113    0.000    1.820    0.000 pygtrie.py:1598(_path_from_key)
   212858    1.087    0.000    1.734    0.000 pygtrie.py:174(require)
   377027    1.079    0.000    2.899    0.000 pygtrie.py:1311(__path_from_key)
   778596    1.047    0.000    1.047    0.000 {built-in method _ctypes.byref}
   778611    0.995    0.000    0.995    0.000 {built-in method _ctypes.POINTER}
   541997    0.893    0.000    0.893    0.000 pygtrie.py:1083(__init__)
   541997    0.798    0.000    0.798    0.000 pygtrie.py:1093(is_set)
   483564    0.741    0.000    0.741    0.000 {method 'get' of 'dict' objects}
   377576    0.708    0.000    0.708    0.000 {method 'split' of 'str' objects}
   424392    0.646    0.000    0.646    0.000 pygtrie.py:1129(value)
   379611    0.613    0.000    0.613    0.000 pygtrie.py:127(get)
   129568    0.574    0.000    4.695    0.000 pygtrie.py:728(has_node)
        1    0.573    0.573   64.006   64.006 rop.py:166(galileo_serial)
   117606    0.563    0.000    6.036    0.000 pygtrie.py:865(__setitem__)
   132746    0.541    0.000    0.769    0.000 rop.py:97(is_inst_boring)
   424964    0.508    0.000    0.508    0.000 {method 'strip' of 'str' objects}
   129568    0.506    0.000    5.201    0.000 pygtrie.py:779(has_key)
   129568    0.488    0.000    6.120    0.000 rop.py:113(is_gadget_duplicate)
   117606    0.466    0.000    0.466    0.000 {built-in method builtins.print}
   259421    0.457    0.000    0.457    0.000 rop.py:88(get_inst_str)
   368176    0.449    0.000    0.449    0.000 {method 'append' of 'list' objects}
   280540    0.424    0.000    0.424    0.000 pygtrie.py:200(__init__)
   129854    0.367    0.000    0.558    0.000 pygtrie.py:793(_slice_maybe)
   213913    0.344    0.000    0.344    0.000 {method 'count' of 'str' objects}
   175547    0.329    0.000    0.749    0.000 pygtrie.py:135(require)
   213211    0.324    0.000    0.324    0.000 {method 'setdefault' of 'dict' objects}
   213913    0.258    0.000    0.258    0.000 {method 'hex' of 'bytes' objects}
    31693    0.208    0.000    0.419    0.000 pygtrie.py:130(add)
    35988    0.203    0.000    0.309    0.000 pygtrie.py:86(add)
   137219    0.202    0.000    0.202    0.000 {built-in method builtins.isinstance}
    31693    0.165    0.000    0.165    0.000 pygtrie.py:155(__init__)
   117605    0.151    0.000    0.151    0.000 {built-in method builtins.hex}
    12248    0.065    0.000    0.409    0.000 pygtrie.py:815(__getitem__)
    35988    0.052    0.000    0.052    0.000 pygtrie.py:111(__init__)
    35987    0.044    0.000    0.044    0.000 pygtrie.py:83(get)
   484/92    0.043    0.000    0.157    0.002 sre_parse.py:491(_parse)
    11707    0.034    0.000    0.059    0.000 sre_parse.py:247(get)
    12962    0.028    0.000    0.028    0.000 sre_parse.py:226(__next)
      154    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
  668/660    0.022    0.000    0.125    0.000 {built-in method builtins.__build_class__}
   888/81    0.022    0.000    0.069    0.001 sre_compile.py:64(_compile)
    189/1    0.019    0.000   64.720   64.720 {built-in method builtins.exec}
      280    0.013    0.000    0.029    0.000 version.py:198(__init__)
      282    0.013    0.000    0.021    0.000 sre_compile.py:248(_optimize_charset)
      313    0.012    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
     3720    0.012    0.000    0.018    0.000 sre_parse.py:157(__getitem__)
 1371/573    0.012    0.000    0.015    0.000 sre_parse.py:167(getwidth)
     1713    0.009    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
     1713    0.009    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
     1071    0.008    0.000    0.008    0.000 {built-in method posix.stat}
2789/2780    0.007    0.000    0.012    0.000 {method 'join' of 'str' objects}
    80/79    0.006    0.000    0.020    0.000 core.py:634(_parse)
      160    0.006    0.000    0.098    0.001 __init__.py:1959(find_on_path)
     3973    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
   332/81    0.005    0.000    0.159    0.002 sre_parse.py:429(_parse_sub)
     2554    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     3814    0.005    0.000    0.005    0.000 {method 'rstrip' of 'str' objects}
     2540    0.005    0.000    0.007    0.000 sre_parse.py:242(match)
     2942    0.004    0.000    0.004    0.000 {method 'group' of '_sre.SRE_Match' objects}
2084/2075    0.004    0.000    0.005    0.000 {built-in method builtins.hasattr}
      183    0.004    0.000    0.069    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      278    0.004    0.000    0.005    0.000 version.py:343(_cmpkey)
     1360    0.004    0.000    0.005    0.000 sre_parse.py:165(append)
    182/7    0.004    0.000    0.663    0.095 <frozen importlib._bootstrap>:659(_load_unlocked)
      802    0.004    0.000    0.010    0.000 core.py:349(_parse)
      607    0.003    0.000    0.030    0.000 __init__.py:2501(_get_metadata)
     2083    0.003    0.000    0.003    0.000 {built-in method builtins.min}
      536    0.003    0.000    0.006    0.000 __init__.py:2165(yield_lines)
     1626    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
     1141    0.003    0.000    0.005    0.000 sre_parse.py:276(tell)
      803    0.003    0.000    0.005    0.000 core.py:288(_read_stream)
     1301    0.003    0.000    0.005    0.000 sre_parse.py:153(__len__)
      154    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:816(get_data)
      169    0.003    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      174    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
      136    0.003    0.000    0.004    0.000 {built-in method io.open}
      308    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      154    0.003    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:729(get_code)
      282    0.003    0.000    0.026    0.000 sre_compile.py:221(_compile_charset)
      386    0.003    0.000    0.006    0.000 posixpath.py:71(join)
        6    0.003    0.001    0.003    0.001 {built-in method _imp.create_dynamic}
     2320    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
     1635    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
     1069    0.003    0.000    0.004    0.000 sre_compile.py:101(fixup)
      146    0.003    0.000    0.083    0.001 __init__.py:2356(from_location)
    184/6    0.003    0.000    0.670    0.112 <frozen importlib._bootstrap>:966(_find_and_load)
     2068    0.003    0.000    0.003    0.000 pygtrie.py:115(__bool__)
      278    0.003    0.000    0.007    0.000 version.py:236(__str__)
        9    0.003    0.000    0.006    0.001 enum.py:88(__new__)
      154    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     1600    0.003    0.000    0.003    0.000 container.py:40(__setitem__)
      950    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      280    0.002    0.000    0.039    0.000 __init__.py:1381(safe_version)
       32    0.002    0.000    0.027    0.001 __init__.py:356(namedtuple)
      485    0.002    0.000    0.003    0.000 __init__.py:2542(__getattr__)
      146    0.002    0.000    0.005    0.000 __init__.py:738(add)
      888    0.002    0.000    0.002    0.000 sre_parse.py:105(__init__)
      246    0.002    0.000    0.248    0.001 re.py:278(_compile)
     1379    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      581    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x84d3e00}
    184/6    0.002    0.000    0.670    0.112 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       81    0.002    0.000    0.012    0.000 sre_compile.py:412(_compile_info)
      700    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     1773    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
      990    0.002    0.000    0.002    0.000 version.py:207(<genexpr>)
     1499    0.002    0.000    0.002    0.000 {built-in method _sre.getlower}
      154    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
      256    0.002    0.000    0.002    0.000 binary.py:4(int_to_bin)
      349    0.002    0.000    0.004    0.000 sre_compile.py:386(_simple)
      990    0.002    0.000    0.002    0.000 version.py:244(<genexpr>)
  416/345    0.002    0.000    0.098    0.000 <frozen importlib._bootstrap>:996(_handle_fromlist)
     1669    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
       91    0.002    0.000    0.004    0.000 pyparsing.py:2266(__init__)
      280    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
